game_id,id,playerName,team,position,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,faceOffPct
2018020391,8471702,Matt Niskanen,Washington Capitals,D,21:45,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,15:54,0:51,5:00,NA
2018020391,8476905,Chandler Stephenson,Washington Capitals,C,12:58,0,0,2,0,0,0,0,0,1,0,0,0,0,0,-2,8:28,0:04,4:26,0
2018020391,8475758,Devante Smith-Pelly,Washington Capitals,RW,11:43,0,0,1,0,0,0,2,0,0,0,0,0,0,2,-1,8:13,0:00,3:30,NA
2018020391,8476436,Dmitrij Jaskin,Washington Capitals,RW,6:51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,6:43,0:04,0:04,NA
2018020391,8471214,Alex Ovechkin,Washington Capitals,LW,21:29,2,1,4,2,0,0,0,0,0,1,2,0,0,0,3,16:20,5:09,0:00,NA
2018020391,8475744,Evgeny Kuznetsov,Washington Capitals,C,17:37,1,0,4,0,0,1,0,4,8,0,1,0,0,0,-1,12:11,4:26,1:00,50
2018020391,8477944,Jakub Vrana,Washington Capitals,LW,13:12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,11:50,1:22,0:00,NA
2018020391,8477444,Andre Burakovsky,Washington Capitals,LW,12:16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11:13,1:03,0:00,NA
2018020391,8475200,Dmitry Orlov,Washington Capitals,D,22:58,0,0,1,0,0,0,0,0,0,0,0,0,0,2,-2,16:14,1:49,4:55,NA
2018020391,8475343,Nic Dowd,Washington Capitals,C,9:53,0,0,0,1,0,0,0,4,7,0,0,0,0,1,-1,6:14,0:04,3:35,57.14
2018020391,8473563,Nicklas Backstrom,Washington Capitals,C,21:48,1,3,5,0,1,0,0,10,23,2,0,0,0,0,4,15:21,4:34,1:53,43.48
2018020391,8474590,John Carlson,Washington Capitals,D,25:12,1,0,2,0,0,1,0,0,0,2,2,0,0,3,4,14:23,4:11,6:38,NA
2018020391,8474189,Lars Eller,Washington Capitals,C,16:38,1,0,3,0,0,0,2,8,17,2,0,0,1,0,2,10:37,1:30,4:31,47.06
2018020391,8477043,Christian Djoos,Washington Capitals,D,10:24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10:20,0:00,0:04,NA
2018020391,8476880,Tom Wilson,Washington Capitals,RW,13:25,0,1,1,1,0,0,10,1,1,0,1,1,0,2,2,8:58,1:18,3:09,100
2018020391,8475792,Brett Connolly,Washington Capitals,RW,16:07,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,12:32,3:35,0:00,NA
2018020391,8477474,Madison Bowey,Washington Capitals,D,12:56,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,12:56,0:00,0:00,NA
2018020391,8479482,Michal Kempny,Washington Capitals,D,21:44,2,0,3,0,0,0,0,0,0,0,0,0,0,1,3,16:13,0:00,5:31,NA
