game_id,id,playerName,team,opp,position,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,faceOffPct
2018020017,8469506,Jason Pominville,Buffalo Sabres,New York Rangers,RW,8:54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8:54,0:00,0:00,NA
2018020017,8474618,Marco Scandella,Buffalo Sabres,New York Rangers,D,21:58,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,17:56,0:00,4:02,NA
2018020017,8473534,Patrik Berglund,Buffalo Sabres,New York Rangers,C,16:04,0,0,0,2,0,0,0,11,21,1,0,0,0,5,1,13:33,0:00,2:31,52.38
2018020017,8477839,Conor Sheary,Buffalo Sabres,New York Rangers,LW,18:50,0,2,3,0,2,0,0,0,0,0,0,0,0,1,-1,14:37,4:13,0:00,NA
2018020017,8476931,Jake McCabe,Buffalo Sabres,New York Rangers,D,21:21,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,19:12,0:11,1:58,NA
2018020017,8473449,Kyle Okposo,Buffalo Sabres,New York Rangers,RW,14:47,0,0,2,1,0,0,2,0,1,0,0,0,0,0,-1,11:16,3:31,0:00,0
2018020017,8479999,Casey Mittelstadt,Buffalo Sabres,New York Rangers,C,11:06,1,0,1,1,0,1,0,3,7,0,0,0,0,0,0,9:09,1:57,0:00,42.86
2018020017,8477933,Sam Reinhart,Buffalo Sabres,New York Rangers,C,20:21,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,15:03,5:18,0:00,NA
2018020017,8476878,Zemgus Girgensons,Buffalo Sabres,New York Rangers,C,13:52,0,0,2,2,0,0,0,1,3,0,0,0,0,0,0,10:16,0:00,3:36,33.33
2018020017,8477499,Rasmus Ristolainen,Buffalo Sabres,New York Rangers,D,26:57,1,0,4,2,0,1,0,0,0,0,3,0,0,0,1,16:39,6:16,4:02,NA
2018020017,8478403,Jack Eichel,Buffalo Sabres,New York Rangers,C,25:45,1,1,4,1,0,1,2,12,21,0,0,0,0,2,0,18:45,6:29,0:31,57.14
2018020017,8475784,Jeff Skinner,Buffalo Sabres,New York Rangers,C,13:48,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,11:43,2:05,0:00,NA
2018020017,8479268,Casey Nelson,Buffalo Sabres,New York Rangers,D,14:05,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1,12:07,0:00,1:58,NA
2018020017,8477461,Remi Elie,Buffalo Sabres,New York Rangers,LW,11:47,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,9:12,0:42,1:53,100
2018020017,8478542,Evan Rodrigues,Buffalo Sabres,New York Rangers,LW,14:29,0,0,2,0,0,0,4,6,17,0,0,0,0,0,0,9:54,1:06,3:29,35.29
2018020017,8480839,Rasmus Dahlin,Buffalo Sabres,New York Rangers,D,17:05,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,16:17,0:48,0:00,NA
2018020017,8479420,Tage Thompson,Buffalo Sabres,New York Rangers,C,9:48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8:08,1:40,0:00,NA
2018020017,8476470,Nathan Beaulieu,Buffalo Sabres,New York Rangers,D,11:26,0,0,1,2,0,0,5,0,0,0,0,0,0,0,-1,11:26,0:00,0:00,NA
2018020017,8476918,Jimmy Vesey,New York Rangers,Buffalo Sabres,LW,17:06,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,14:05,2:01,1:00,NA
2018020017,8471717,Adam McQuaid,New York Rangers,Buffalo Sabres,D,16:41,1,0,2,3,0,0,2,0,0,0,0,0,0,1,1,15:31,0:00,1:10,NA
2018020017,8471686,Marc Staal,New York Rangers,Buffalo Sabres,D,14:20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10:08,0:00,4:12,NA
2018020017,8476869,Brady Skjei,New York Rangers,Buffalo Sabres,D,21:18,0,0,2,3,0,0,0,0,0,0,1,0,0,2,1,18:55,0:03,2:20,NA
2018020017,8475727,Ryan Spooner,New York Rangers,Buffalo Sabres,C,14:49,1,0,5,0,0,0,0,4,7,0,0,0,0,0,1,12:48,2:01,0:00,57.14
2018020017,8479968,Vinni Lettieri,New York Rangers,Buffalo Sabres,C,7:53,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,7:11,0:00,0:42,NA
2018020017,8471657,Cody McLeod,New York Rangers,Buffalo Sabres,LW,5:23,0,0,2,3,0,0,5,0,0,0,0,0,0,0,0,5:23,0:00,0:00,NA
2018020017,8476459,Mika Zibanejad,New York Rangers,Buffalo Sabres,C,23:04,0,0,8,0,0,0,2,16,27,0,1,0,0,1,-1,15:35,3:59,3:30,59.26
2018020017,8475855,Jesper Fast,New York Rangers,Buffalo Sabres,RW,17:39,0,0,3,2,0,0,0,0,0,0,0,0,0,0,-1,15:36,0:00,2:03,NA
2018020017,8474031,Kevin Shattenkirk,New York Rangers,Buffalo Sabres,D,22:23,0,0,2,1,0,0,0,0,0,0,0,0,0,1,-1,18:59,3:24,0:00,NA
2018020017,8477402,Pavel Buchnevich,New York Rangers,Buffalo Sabres,RW,15:19,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,11:55,3:24,0:00,NA
2018020017,8475763,Kevin Hayes,New York Rangers,Buffalo Sabres,C,12:48,0,0,2,0,0,0,0,3,10,1,0,0,0,0,0,8:05,2:33,2:10,30
2018020017,8475184,Chris Kreider,New York Rangers,Buffalo Sabres,LW,17:12,0,0,2,2,0,0,2,0,0,0,0,0,0,0,-1,12:46,3:24,1:02,NA
2018020017,8479353,Brett Howden,New York Rangers,Buffalo Sabres,C,12:31,0,1,3,0,0,0,0,10,16,0,0,0,0,1,1,12:31,0:00,0:00,62.5
2018020017,8475692,Mats Zuccarello,New York Rangers,Buffalo Sabres,RW,19:42,0,0,3,0,0,0,2,3,4,0,0,0,0,1,-1,14:29,2:36,2:37,75
2018020017,8474090,Brendan Smith,New York Rangers,Buffalo Sabres,D,16:31,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,14:58,0:00,1:33,NA
2018020017,8480078,Filip Chytil,New York Rangers,Buffalo Sabres,C,17:18,0,0,3,0,0,0,0,1,7,0,0,0,0,1,-1,13:19,3:59,0:00,14.29
2018020017,8480145,Neal Pionk,New York Rangers,Buffalo Sabres,D,21:16,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,13:47,2:36,4:53,NA
