game_id,id,playerName,team,opp,position,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffPct,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce
2018020838,8470638,Patrice Bergeron,Boston Bruins,Los Angeles Kings,C,21:23,2,1,7,0,1,0,0,54.17,13,24,1,0,0,1,1,3,15:30,3:32,2:21
2018020838,8473419,Brad Marchand,Boston Bruins,Los Angeles Kings,LW,22:30,1,1,3,0,0,0,0,100,1,1,0,2,1,0,0,3,15:44,3:32,3:14
2018020838,8475807,Joakim Nordstrom,Boston Bruins,Los Angeles Kings,C,10:54,0,0,1,3,0,0,0,NA,0,0,0,0,0,0,0,0,9:36,0:00,1:18
2018020838,8471276,David Krejci,Boston Bruins,Los Angeles Kings,C,16:27,0,1,1,0,0,0,2,68.75,11,16,0,1,0,0,0,-2,15:00,1:27,0:00
2018020838,8470655,David Backes,Boston Bruins,Los Angeles Kings,RW,9:34,0,0,2,2,0,0,0,NA,0,0,1,0,0,0,2,0,8:19,1:15,0:00
2018020838,8478569,Noel Acciari,Boston Bruins,Los Angeles Kings,C,13:08,0,0,0,4,0,0,0,75,3,4,0,0,0,0,0,0,9:07,0:00,4:01
2018020838,8477417,Peter Cehlarik,Boston Bruins,Los Angeles Kings,LW,13:45,0,0,2,0,0,0,0,NA,0,0,2,0,0,0,0,-2,12:30,1:15,0:00
2018020838,8477956,David Pastrnak,Boston Bruins,Los Angeles Kings,RW,16:13,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,-2,12:41,3:32,0:00
2018020838,8479325,Charlie McAvoy,Boston Bruins,Los Angeles Kings,D,23:35,1,1,4,3,0,0,0,NA,0,0,1,1,0,0,0,2,21:06,1:27,1:02
2018020838,8475780,Chris Wagner,Boston Bruins,Los Angeles Kings,RW,15:10,0,0,0,2,0,0,2,0,0,1,1,0,0,0,1,0,13:03,0:12,1:55
2018020838,8478443,Brandon Carlo,Boston Bruins,Los Angeles Kings,D,18:42,0,0,2,0,0,0,2,NA,0,0,1,1,0,0,3,0,14:52,0:00,3:50
2018020838,8475186,John Moore,Boston Bruins,Los Angeles Kings,D,15:58,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,5,1,12:29,0:12,3:17
2018020838,8476792,Torey Krug,Boston Bruins,Los Angeles Kings,D,20:20,2,0,2,0,0,1,0,NA,0,0,1,2,0,0,1,-1,16:46,3:32,0:02
2018020838,8476374,Sean Kuraly,Boston Bruins,Los Angeles Kings,C,15:44,0,0,3,1,0,0,0,50,4,8,1,0,0,0,0,0,11:23,0:12,4:09
