rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020002,/api/v1/game/2018020002/feed/live,R,20182019,2018-10-03T23:30:00Z,Final,7,Final,7,FALSE,0,0,1,0,league,6,Boston Bruins,/api/v1/teams/6,7,1,0,0,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020002/content
2,2018020005,/api/v1/game/2018020005/feed/live,R,20182019,2018-10-04T23:00:00Z,Final,7,Final,7,FALSE,4,1,1,0,league,6,Boston Bruins,/api/v1/teams/6,0,0,1,0,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020005/content
3,2018020032,/api/v1/game/2018020032/feed/live,R,20182019,2018-10-08T17:00:00Z,Final,7,Final,7,FALSE,3,1,1,1,league,9,Ottawa Senators,/api/v1/teams/9,6,2,1,0,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020032/content
4,2018020045,/api/v1/game/2018020045/feed/live,R,20182019,2018-10-11T23:00:00Z,Final,7,Final,7,FALSE,1,0,2,0,league,22,Edmonton Oilers,/api/v1/teams/22,4,3,1,0,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020045/content
5,2018020061,/api/v1/game/2018020061/feed/live,R,20182019,2018-10-13T19:00:00Z,Final,7,Final,7,FALSE,2,0,3,2,league,17,Detroit Red Wings,/api/v1/teams/17,8,4,1,0,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020061/content
6,2018020088,/api/v1/game/2018020088/feed/live,R,20182019,2018-10-18T01:30:00Z,Final,7,Final,7,FALSE,2,4,2,0,league,6,Boston Bruins,/api/v1/teams/6,5,4,2,0,league,20,Calgary Flames,/api/v1/teams/20,5075,Scotiabank Saddledome,/api/v1/venues/5075,/api/v1/game/2018020088/content
7,2018020096,/api/v1/game/2018020096/feed/live,R,20182019,2018-10-19T01:00:00Z,Final,7,Final,7,FALSE,2,4,2,1,league,6,Boston Bruins,/api/v1/teams/6,3,3,2,0,league,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2018020096/content
8,2018020112,/api/v1/game/2018020112/feed/live,R,20182019,2018-10-21T02:00:00Z,Final,7,Final,7,FALSE,1,4,2,2,league,6,Boston Bruins,/api/v1/teams/6,2,5,3,0,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020112/content
9,2018020125,/api/v1/game/2018020125/feed/live,R,20182019,2018-10-23T23:30:00Z,Final,7,Final,7,FALSE,4,5,2,2,league,6,Boston Bruins,/api/v1/teams/6,1,4,3,1,league,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2018020125/content
10,2018020134,/api/v1/game/2018020134/feed/live,R,20182019,2018-10-25T23:00:00Z,Final,7,Final,7,FALSE,0,4,6,0,league,4,Philadelphia Flyers,/api/v1/teams/4,3,6,2,2,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020134/content
