rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020004,/api/v1/game/2018020004/feed/live,R,20182019,2018-10-04T02:30:00Z,Final,7,Final,7,FALSE,5,1,0,0,league,24,Anaheim Ducks,/api/v1/teams/24,2,0,1,0,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018020004/content
2,2018020016,/api/v1/game/2018020016/feed/live,R,20182019,2018-10-06T02:30:00Z,Final,7,Final,7,FALSE,3,1,1,0,league,28,San Jose Sharks,/api/v1/teams/28,2,0,0,1,league,26,Los Angeles Kings,/api/v1/teams/26,NA,STAPLES Center,/api/v1/venues/null,/api/v1/game/2018020016/content
3,2018020033,/api/v1/game/2018020033/feed/live,R,20182019,2018-10-08T17:00:00Z,Final,7,Final,7,FALSE,0,1,2,0,league,28,San Jose Sharks,/api/v1/teams/28,4,2,1,0,league,2,New York Islanders,/api/v1/teams/2,5026,Barclays Center,/api/v1/venues/5026,/api/v1/game/2018020033/content
4,2018020036,/api/v1/game/2018020036/feed/live,R,20182019,2018-10-09T23:00:00Z,Final,7,Final,7,FALSE,8,2,2,0,league,28,San Jose Sharks,/api/v1/teams/28,2,1,2,0,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020036/content
5,2018020049,/api/v1/game/2018020049/feed/live,R,20182019,2018-10-11T23:00:00Z,Final,7,Final,7,FALSE,2,2,2,1,league,28,San Jose Sharks,/api/v1/teams/28,3,1,3,0,league,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2018020049/content
6,2018020071,/api/v1/game/2018020071/feed/live,R,20182019,2018-10-14T17:00:00Z,Final,7,Final,7,FALSE,2,2,3,1,league,28,San Jose Sharks,/api/v1/teams/28,3,3,0,0,league,1,New Jersey Devils,/api/v1/teams/1,NA,Prudential Center,/api/v1/venues/null,/api/v1/game/2018020071/content
7,2018020098,/api/v1/game/2018020098/feed/live,R,20182019,2018-10-19T02:30:00Z,Final,7,Final,7,FALSE,1,3,4,0,league,7,Buffalo Sabres,/api/v1/teams/7,5,3,3,1,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018020098/content
8,2018020114,/api/v1/game/2018020114/feed/live,R,20182019,2018-10-21T02:30:00Z,Final,7,Final,7,FALSE,1,3,4,0,league,2,New York Islanders,/api/v1/teams/2,4,4,3,1,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018020114/content
9,2018020126,/api/v1/game/2018020126/feed/live,R,20182019,2018-10-24T00:00:00Z,Final,7,Final,7,FALSE,5,5,3,1,league,28,San Jose Sharks,/api/v1/teams/28,4,7,2,0,league,18,Nashville Predators,/api/v1/teams/18,5030,Bridgestone Arena,/api/v1/venues/5030,/api/v1/game/2018020126/content
10,2018020146,/api/v1/game/2018020146/feed/live,R,20182019,2018-10-26T23:30:00Z,Final,7,Final,7,FALSE,3,5,3,2,league,28,San Jose Sharks,/api/v1/teams/28,4,6,3,1,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020146/content
