rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020003,/api/v1/game/2018020003/feed/live,R,20182019,2018-10-04T02:00:00Z,Final,7,Final,7,FALSE,2,0,1,0,league,20,Calgary Flames,/api/v1/teams/20,5,1,0,0,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020003/content
2,2018020028,/api/v1/game/2018020028/feed/live,R,20182019,2018-10-07T02:00:00Z,Final,7,Final,7,FALSE,4,1,1,0,league,23,Vancouver Canucks,/api/v1/teams/23,7,1,1,0,league,20,Calgary Flames,/api/v1/teams/20,5075,Scotiabank Saddledome,/api/v1/venues/5075,/api/v1/game/2018020028/content
3,2018020037,/api/v1/game/2018020037/feed/live,R,20182019,2018-10-09T23:00:00Z,Final,7,Final,7,FALSE,3,1,2,0,league,23,Vancouver Canucks,/api/v1/teams/23,5,3,0,1,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020037/content
4,2018020053,/api/v1/game/2018020053/feed/live,R,20182019,2018-10-11T23:30:00Z,Final,7,Final,7,FALSE,4,2,2,0,league,23,Vancouver Canucks,/api/v1/teams/23,1,1,1,0,league,14,Tampa Bay Lightning,/api/v1/teams/14,5017,Amalie Arena,/api/v1/venues/5017,/api/v1/game/2018020053/content
5,2018020064,/api/v1/game/2018020064/feed/live,R,20182019,2018-10-13T23:00:00Z,Final,7,Final,7,FALSE,3,3,2,0,league,23,Vancouver Canucks,/api/v1/teams/23,2,0,2,1,league,13,Florida Panthers,/api/v1/teams/13,5027,BB&T Center,/api/v1/venues/5027,/api/v1/game/2018020064/content
6,2018020081,/api/v1/game/2018020081/feed/live,R,20182019,2018-10-16T23:00:00Z,Final,7,Final,7,FALSE,3,4,2,0,league,23,Vancouver Canucks,/api/v1/teams/23,2,2,1,2,league,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2018020081/content
7,2018020094,/api/v1/game/2018020094/feed/live,R,20182019,2018-10-19T00:00:00Z,Final,7,Final,7,FALSE,1,4,3,0,league,23,Vancouver Canucks,/api/v1/teams/23,4,4,2,1,league,52,Winnipeg Jets,/api/v1/teams/52,5058,Bell MTS Place,/api/v1/venues/5058,/api/v1/game/2018020094/content
8,2018020112,/api/v1/game/2018020112/feed/live,R,20182019,2018-10-21T02:00:00Z,Final,7,Final,7,FALSE,1,4,2,2,league,6,Boston Bruins,/api/v1/teams/6,2,5,3,0,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020112/content
9,2018020121,/api/v1/game/2018020121/feed/live,R,20182019,2018-10-23T02:00:00Z,Final,7,Final,7,FALSE,5,4,2,2,league,15,Washington Capitals,/api/v1/teams/15,2,5,4,0,league,23,Vancouver Canucks,/api/v1/teams/23,5073,Rogers Arena,/api/v1/venues/5073,/api/v1/game/2018020121/content
10,2018020133,/api/v1/game/2018020133/feed/live,R,20182019,2018-10-25T02:00:00Z,Final,7,Final,7,FALSE,3,6,4,0,league,23,Vancouver Canucks,/api/v1/teams/23,2,4,4,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020133/content
