rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020014,/api/v1/game/2018020014/feed/live,R,20182019,2018-10-05T02:00:00Z,Final,7,Final,7,FALSE,5,1,0,0,league,4,Philadelphia Flyers,/api/v1/teams/4,2,0,1,0,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020014/content
2,2018020025,/api/v1/game/2018020025/feed/live,R,20182019,2018-10-07T00:00:00Z,Final,7,Final,7,FALSE,2,1,1,0,league,54,Vegas Golden Knights,/api/v1/teams/54,1,0,1,1,league,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2018020025/content
3,2018020034,/api/v1/game/2018020034/feed/live,R,20182019,2018-10-08T19:00:00Z,Final,7,Final,7,FALSE,2,1,2,0,league,54,Vegas Golden Knights,/api/v1/teams/54,4,2,1,0,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020034/content
4,2018020043,/api/v1/game/2018020043/feed/live,R,20182019,2018-10-11T00:00:00Z,Final,7,Final,7,FALSE,2,1,3,0,league,54,Vegas Golden Knights,/api/v1/teams/54,5,2,0,1,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020043/content
5,2018020050,/api/v1/game/2018020050/feed/live,R,20182019,2018-10-11T23:00:00Z,Final,7,Final,7,FALSE,2,1,4,0,league,54,Vegas Golden Knights,/api/v1/teams/54,4,2,1,0,league,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2018020050/content
6,2018020058,/api/v1/game/2018020058/feed/live,R,20182019,2018-10-13T17:00:00Z,Final,7,Final,7,FALSE,1,2,4,0,league,54,Vegas Golden Knights,/api/v1/teams/54,0,2,3,0,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020058/content
7,2018020085,/api/v1/game/2018020085/feed/live,R,20182019,2018-10-17T02:00:00Z,Final,7,Final,7,FALSE,1,3,3,0,league,7,Buffalo Sabres,/api/v1/teams/7,4,3,4,0,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020085/content
8,2018020113,/api/v1/game/2018020113/feed/live,R,20182019,2018-10-21T02:00:00Z,Final,7,Final,7,FALSE,1,5,2,1,league,24,Anaheim Ducks,/api/v1/teams/24,3,4,4,0,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020113/content
9,2018020133,/api/v1/game/2018020133/feed/live,R,20182019,2018-10-25T02:00:00Z,Final,7,Final,7,FALSE,3,6,4,0,league,23,Vancouver Canucks,/api/v1/teams/23,2,4,4,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020133/content
10,2018020144,/api/v1/game/2018020144/feed/live,R,20182019,2018-10-26T22:00:00Z,Final,7,Final,7,FALSE,3,7,1,1,league,14,Tampa Bay Lightning,/api/v1/teams/14,2,4,5,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020144/content
11,2018020163,/api/v1/game/2018020163/feed/live,R,20182019,2018-10-29T00:00:00Z,Final,7,Final,7,FALSE,3,4,4,2,league,9,Ottawa Senators,/api/v1/teams/9,4,5,5,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020163/content
12,2018020173,/api/v1/game/2018020173/feed/live,R,20182019,2018-10-31T00:00:00Z,Final,7,Final,7,FALSE,1,5,6,1,league,54,Vegas Golden Knights,/api/v1/teams/54,4,9,3,0,league,18,Nashville Predators,/api/v1/teams/18,5030,Bridgestone Arena,/api/v1/venues/5030,/api/v1/game/2018020173/content
13,2018020186,/api/v1/game/2018020186/feed/live,R,20182019,2018-11-02T00:00:00Z,Final,7,Final,7,FALSE,3,5,7,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5,4,4,3,league,19,St. Louis Blues,/api/v1/teams/19,5076,Enterprise Center,/api/v1/venues/5076,/api/v1/game/2018020186/content
14,2018020204,/api/v1/game/2018020204/feed/live,R,20182019,2018-11-04T02:00:00Z,Final,7,Final,7,FALSE,0,6,6,2,league,12,Carolina Hurricanes,/api/v1/teams/12,3,6,7,1,league,54,Vegas Golden Knights,/api/v1/teams/54,5178,T-Mobile Arena,/api/v1/venues/5178,/api/v1/game/2018020204/content
