rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020001,/api/v1/game/2018020001/feed/live,R,20182019,2018-10-03T23:00:00Z,Final,7,Final,7,FALSE,2,0,0,1,league,8,Montréal Canadiens,/api/v1/teams/8,3,1,0,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020001/content
2,2018020018,/api/v1/game/2018020018/feed/live,R,20182019,2018-10-06T23:00:00Z,Final,7,Final,7,FALSE,5,1,0,1,league,9,Ottawa Senators,/api/v1/teams/9,3,1,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020018/content
3,2018020030,/api/v1/game/2018020030/feed/live,R,20182019,2018-10-07T23:00:00Z,Final,7,Final,7,FALSE,7,2,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,6,2,0,1,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020030/content
4,2018020041,/api/v1/game/2018020041/feed/live,R,20182019,2018-10-10T00:30:00Z,Final,7,Final,7,FALSE,7,3,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,4,2,1,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020041/content
5,2018020052,/api/v1/game/2018020052/feed/live,R,20182019,2018-10-11T23:30:00Z,Final,7,Final,7,FALSE,5,4,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,3,0,2,2,league,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2018020052/content
6,2018020065,/api/v1/game/2018020065/feed/live,R,20182019,2018-10-13T23:00:00Z,Final,7,Final,7,FALSE,4,5,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,2,2,2,1,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020065/content
7,2018020074,/api/v1/game/2018020074/feed/live,R,20182019,2018-10-15T23:30:00Z,Final,7,Final,7,FALSE,1,2,3,1,league,26,Los Angeles Kings,/api/v1/teams/26,4,6,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020074/content
8,2018020090,/api/v1/game/2018020090/feed/live,R,20182019,2018-10-18T23:00:00Z,Final,7,Final,7,FALSE,3,3,1,2,league,5,Pittsburgh Penguins,/api/v1/teams/5,0,6,2,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020090/content
9,2018020106,/api/v1/game/2018020106/feed/live,R,20182019,2018-10-20T23:00:00Z,Final,7,Final,7,FALSE,4,2,3,2,league,19,St. Louis Blues,/api/v1/teams/19,1,6,3,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020106/content
10,2018020131,/api/v1/game/2018020131/feed/live,R,20182019,2018-10-24T23:00:00Z,Final,7,Final,7,FALSE,4,7,3,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,2,6,3,1,league,52,Winnipeg Jets,/api/v1/teams/52,5058,Bell MTS Place,/api/v1/venues/5058,/api/v1/game/2018020131/content
11,2018020153,/api/v1/game/2018020153/feed/live,R,20182019,2018-10-27T23:00:00Z,Final,7,Final,7,FALSE,2,7,4,1,league,52,Winnipeg Jets,/api/v1/teams/52,3,8,3,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020153/content
