rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
1,2018020012,/api/v1/game/2018020012/feed/live,R,20182019,2018-10-05T00:30:00Z,Final,7,Final,7,FALSE,0,0,1,0,league,53,Arizona Coyotes,/api/v1/teams/53,3,1,0,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020012/content
2,2018020023,/api/v1/game/2018020023/feed/live,R,20182019,2018-10-06T23:00:00Z,Final,7,Final,7,FALSE,1,1,1,0,league,52,Winnipeg Jets,/api/v1/teams/52,5,2,0,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020023/content
3,2018020041,/api/v1/game/2018020041/feed/live,R,20182019,2018-10-10T00:30:00Z,Final,7,Final,7,FALSE,7,3,1,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,4,2,1,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020041/content
4,2018020067,/api/v1/game/2018020067/feed/live,R,20182019,2018-10-14T00:00:00Z,Final,7,Final,7,FALSE,3,3,1,1,league,24,Anaheim Ducks,/api/v1/teams/24,5,3,1,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020067/content
5,2018020076,/api/v1/game/2018020076/feed/live,R,20182019,2018-10-15T23:30:00Z,Final,7,Final,7,FALSE,1,3,2,0,league,25,Dallas Stars,/api/v1/teams/25,4,3,2,1,league,9,Ottawa Senators,/api/v1/teams/9,5031,Canadian Tire Centre,/api/v1/venues/5031,/api/v1/game/2018020076/content
6,2018020078,/api/v1/game/2018020078/feed/live,R,20182019,2018-10-16T23:00:00Z,Final,7,Final,7,FALSE,0,3,3,0,league,25,Dallas Stars,/api/v1/teams/25,3,4,0,0,league,1,New Jersey Devils,/api/v1/teams/1,NA,Prudential Center,/api/v1/venues/null,/api/v1/game/2018020078/content
7,2018020100,/api/v1/game/2018020100/feed/live,R,20182019,2018-10-20T00:00:00Z,Final,7,Final,7,FALSE,3,3,2,2,league,30,Minnesota Wild,/api/v1/teams/30,1,3,4,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020100/content
8,2018020128,/api/v1/game/2018020128/feed/live,R,20182019,2018-10-24T00:30:00Z,Final,7,Final,7,FALSE,2,2,6,1,league,26,Los Angeles Kings,/api/v1/teams/26,4,4,4,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020128/content
9,2018020140,/api/v1/game/2018020140/feed/live,R,20182019,2018-10-26T00:30:00Z,Final,7,Final,7,FALSE,2,5,5,1,league,24,Anaheim Ducks,/api/v1/teams/24,5,5,4,0,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020140/content
10,2018020160,/api/v1/game/2018020160/feed/live,R,20182019,2018-10-28T21:00:00Z,Final,7,Final,7,FALSE,2,5,5,0,league,25,Dallas Stars,/api/v1/teams/25,4,2,7,2,league,17,Detroit Red Wings,/api/v1/teams/17,5145,Little Caesars Arena,/api/v1/venues/5145,/api/v1/game/2018020160/content
11,2018020171,/api/v1/game/2018020171/feed/live,R,20182019,2018-10-30T23:30:00Z,Final,7,Final,7,FALSE,4,6,5,0,league,25,Dallas Stars,/api/v1/teams/25,1,6,3,2,league,8,Montréal Canadiens,/api/v1/teams/8,NA,Centre Bell,/api/v1/venues/null,/api/v1/game/2018020171/content
12,2018020179,/api/v1/game/2018020179/feed/live,R,20182019,2018-11-01T23:00:00Z,Final,7,Final,7,FALSE,2,7,5,0,league,25,Dallas Stars,/api/v1/teams/25,1,8,5,0,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020179/content
13,2018020200,/api/v1/game/2018020200/feed/live,R,20182019,2018-11-03T23:00:00Z,Final,7,Final,7,FALSE,4,8,5,0,league,25,Dallas Stars,/api/v1/teams/25,3,5,4,3,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020200/content
14,2018020210,/api/v1/game/2018020210/feed/live,R,20182019,2018-11-06T00:00:00Z,Final,7,Final,7,FALSE,1,8,5,1,league,25,Dallas Stars,/api/v1/teams/25,2,8,4,2,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020210/content
15,2018020217,/api/v1/game/2018020217/feed/live,R,20182019,2018-11-07T00:00:00Z,Final,7,Final,7,FALSE,1,8,6,1,league,25,Dallas Stars,/api/v1/teams/25,4,8,6,1,league,29,Columbus Blue Jackets,/api/v1/teams/29,5059,Nationwide Arena,/api/v1/venues/5059,/api/v1/game/2018020217/content
