gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
2018020803,/api/v1/game/2018020803/feed/live,R,20182019,2019-02-03T19:00:00Z,Final,7,Final,7,FALSE,3,23,24,5,league,22,Edmonton Oilers,/api/v1/teams/22,4,29,18,6,league,8,Montréal Canadiens,/api/v1/teams/8,NA,Centre Bell,/api/v1/venues/null,/api/v1/game/2018020803/content
2018020804,/api/v1/game/2018020804/feed/live,R,20182019,2019-02-03T19:00:00Z,Final,7,Final,7,FALSE,4,34,14,5,league,20,Calgary Flames,/api/v1/teams/20,3,25,21,6,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020804/content
2018020805,/api/v1/game/2018020805/feed/live,R,20182019,2019-02-05T00:00:00Z,Final,7,Final,7,FALSE,1,21,23,9,league,24,Anaheim Ducks,/api/v1/teams/24,6,32,17,3,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020805/content
2018020806,/api/v1/game/2018020806/feed/live,R,20182019,2019-02-05T00:00:00Z,Final,7,Final,7,FALSE,4,21,27,4,league,26,Los Angeles Kings,/api/v1/teams/26,3,22,22,8,league,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2018020806/content
2018020807,/api/v1/game/2018020807/feed/live,R,20182019,2019-02-05T00:00:00Z,Final,7,Final,7,FALSE,1,24,23,6,league,23,Vancouver Canucks,/api/v1/teams/23,2,24,23,6,league,4,Philadelphia Flyers,/api/v1/teams/4,5096,Wells Fargo Center,/api/v1/venues/5096,/api/v1/game/2018020807/content
2018020808,/api/v1/game/2018020808/feed/live,R,20182019,2019-02-05T01:30:00Z,Final,7,Final,7,FALSE,4,23,24,5,league,53,Arizona Coyotes,/api/v1/teams/53,5,28,21,4,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020808/content
2018020809,/api/v1/game/2018020809/feed/live,R,20182019,2019-02-06T00:00:00Z,Final,7,Final,7,FALSE,1,30,16,6,league,2,New York Islanders,/api/v1/teams/2,3,29,17,7,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020809/content
2018020810,/api/v1/game/2018020810/feed/live,R,20182019,2019-02-06T00:00:00Z,Final,7,Final,7,FALSE,4,26,22,5,league,30,Minnesota Wild,/api/v1/teams/30,5,26,20,6,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020810/content
2018020811,/api/v1/game/2018020811/feed/live,R,20182019,2019-02-06T00:00:00Z,Final,7,Final,7,FALSE,3,24,22,5,league,19,St. Louis Blues,/api/v1/teams/19,2,21,22,8,league,13,Florida Panthers,/api/v1/teams/13,5027,BB&T Center,/api/v1/venues/5027,/api/v1/game/2018020811/content
2018020812,/api/v1/game/2018020812/feed/live,R,20182019,2019-02-06T00:00:00Z,Final,7,Final,7,FALSE,5,22,27,4,league,26,Los Angeles Kings,/api/v1/teams/26,1,20,25,7,league,1,New Jersey Devils,/api/v1/teams/1,NA,Prudential Center,/api/v1/venues/null,/api/v1/game/2018020812/content
